inst_i,inst_j,weight
https://openalex.org/I114090438,https://openalex.org/I114112103,130
https://openalex.org/I114090438,https://openalex.org/I138006243,130
https://openalex.org/I114090438,https://openalex.org/I151201029,112
https://openalex.org/I114090438,https://openalex.org/I165779595,238
https://openalex.org/I114090438,https://openalex.org/I17937529,1490
https://openalex.org/I114090438,https://openalex.org/I223822909,4232
https://openalex.org/I114090438,https://openalex.org/I3018134672,261
https://openalex.org/I114090438,https://openalex.org/I4210162051,831
https://openalex.org/I114090438,https://openalex.org/I57206974,148
https://openalex.org/I114090438,https://openalex.org/I78650965,1056
https://openalex.org/I114090438,https://openalex.org/I8204097,1927
https://openalex.org/I114090438,https://openalex.org/I97018004,331
https://openalex.org/I138006243,https://openalex.org/I151201029,270
https://openalex.org/I138006243,https://openalex.org/I165779595,446
https://openalex.org/I138006243,https://openalex.org/I17937529,23
https://openalex.org/I138006243,https://openalex.org/I223822909,388
https://openalex.org/I138006243,https://openalex.org/I3018134672,64
https://openalex.org/I138006243,https://openalex.org/I4210162051,19
https://openalex.org/I138006243,https://openalex.org/I57206974,645
https://openalex.org/I138006243,https://openalex.org/I78650965,63
https://openalex.org/I138006243,https://openalex.org/I8204097,445
https://openalex.org/I138006243,https://openalex.org/I97018004,1740
https://openalex.org/I151201029,https://openalex.org/I165779595,152
https://openalex.org/I151201029,https://openalex.org/I17937529,30
https://openalex.org/I151201029,https://openalex.org/I223822909,754
https://openalex.org/I151201029,https://openalex.org/I3018134672,33
https://openalex.org/I151201029,https://openalex.org/I4210162051,10
https://openalex.org/I151201029,https://openalex.org/I57206974,280
https://openalex.org/I151201029,https://openalex.org/I78650965,341
https://openalex.org/I151201029,https://openalex.org/I8204097,884
https://openalex.org/I151201029,https://openalex.org/I97018004,201
https://openalex.org/I165779595,https://openalex.org/I17937529,626
https://openalex.org/I165779595,https://openalex.org/I223822909,1245
https://openalex.org/I165779595,https://openalex.org/I3018134672,301
https://openalex.org/I165779595,https://openalex.org/I4210162051,141
https://openalex.org/I165779595,https://openalex.org/I57206974,604
https://openalex.org/I165779595,https://openalex.org/I78650965,303
https://openalex.org/I165779595,https://openalex.org/I8204097,1008
https://openalex.org/I165779595,https://openalex.org/I97018004,1579
https://openalex.org/I17937529,https://openalex.org/I223822909,23458
https://openalex.org/I17937529,https://openalex.org/I3018134672,743
https://openalex.org/I17937529,https://openalex.org/I4210162051,1427
https://openalex.org/I17937529,https://openalex.org/I57206974,184
https://openalex.org/I17937529,https://openalex.org/I78650965,1462
https://openalex.org/I17937529,https://openalex.org/I8204097,1893
https://openalex.org/I17937529,https://openalex.org/I97018004,490
https://openalex.org/I223822909,https://openalex.org/I3018134672,1422
https://openalex.org/I223822909,https://openalex.org/I4210162051,2537
https://openalex.org/I223822909,https://openalex.org/I57206974,493
https://openalex.org/I223822909,https://openalex.org/I78650965,3295
https://openalex.org/I223822909,https://openalex.org/I8204097,5837
https://openalex.org/I223822909,https://openalex.org/I97018004,1440
https://openalex.org/I3018134672,https://openalex.org/I4210162051,232
https://openalex.org/I3018134672,https://openalex.org/I57206974,68
https://openalex.org/I3018134672,https://openalex.org/I78650965,444
https://openalex.org/I3018134672,https://openalex.org/I8204097,4340
https://openalex.org/I3018134672,https://openalex.org/I97018004,263
https://openalex.org/I4210162051,https://openalex.org/I57206974,46
https://openalex.org/I4210162051,https://openalex.org/I78650965,7552
https://openalex.org/I4210162051,https://openalex.org/I8204097,1132
https://openalex.org/I4210162051,https://openalex.org/I97018004,132
https://openalex.org/I57206974,https://openalex.org/I78650965,131
https://openalex.org/I57206974,https://openalex.org/I8204097,574
https://openalex.org/I57206974,https://openalex.org/I97018004,2509
https://openalex.org/I78650965,https://openalex.org/I8204097,1688
https://openalex.org/I78650965,https://openalex.org/I97018004,319
https://openalex.org/I8204097,https://openalex.org/I97018004,1195
https://openalex.org/I103320735,https://openalex.org/I114090438,136
https://openalex.org/I103320735,https://openalex.org/I118564535,133
https://openalex.org/I103320735,https://openalex.org/I134820265,55
https://openalex.org/I103320735,https://openalex.org/I136199984,414
https://openalex.org/I103320735,https://openalex.org/I154526488,628
https://openalex.org/I103320735,https://openalex.org/I15766117,20
https://openalex.org/I103320735,https://openalex.org/I161046081,121
https://openalex.org/I103320735,https://openalex.org/I174306211,28
https://openalex.org/I103320735,https://openalex.org/I196349391,70
https://openalex.org/I103320735,https://openalex.org/I202697423,139
https://openalex.org/I103320735,https://openalex.org/I205783295,222
https://openalex.org/I103320735,https://openalex.org/I21491767,131
https://openalex.org/I103320735,https://openalex.org/I28166907,448
https://openalex.org/I103320735,https://openalex.org/I3018134672,37
https://openalex.org/I103320735,https://openalex.org/I32021983,34
https://openalex.org/I103320735,https://openalex.org/I40120149,308
https://openalex.org/I103320735,https://openalex.org/I4210087915,217
https://openalex.org/I103320735,https://openalex.org/I4210162051,64
https://openalex.org/I103320735,https://openalex.org/I57206974,64
https://openalex.org/I103320735,https://openalex.org/I62916508,71
https://openalex.org/I103320735,https://openalex.org/I8087733,85
https://openalex.org/I103320735,https://openalex.org/I887968799,45
https://openalex.org/I103320735,https://openalex.org/I97018004,223
https://openalex.org/I103320735,https://openalex.org/I99464096,557
